OCCURRED NIGHT,UCR CRIME CATEGORY NIGHT,PREMISE TYPE NIGHT,OCCURRED DAY,UCR CRIME CATEGORY DAY,PREMISE TYPE DAY
01/01/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/01/2023 8:30,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/01/2024 0:00,LARCENY-THEFT,STOREROOM/SHED (COMMERCIAL),01/01/2023 8:58,ARSON,
01/01/2024 0:00,ARSON,,01/01/2023 9:00,AGGRAVATED ASSAULT,APARTMENT
01/01/2024 0:00,BURGLARY,SPECIALTY STORE,01/01/2023 9:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 0:00,LARCENY-THEFT,APARTMENT,01/01/2023 9:48,AGGRAVATED ASSAULT,APARTMENT
01/01/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE,01/01/2023 10:00,LARCENY-THEFT,VEHICLE
01/01/2024 0:00,LARCENY-THEFT,PARKING LOT,01/01/2023 10:00,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,BURGLARY,STOREROOM/SHED (COMMERCIAL),01/01/2023 10:00,BURGLARY,RENTAL STORAGE / FACILITY
01/01/2024 0:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK,01/01/2023 10:00,BURGLARY,RENTAL STORAGE / FACILITY
01/01/2024 0:00,BURGLARY,OTHER,01/01/2023 10:00,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,LARCENY-THEFT,APARTMENT,01/01/2023 10:07,DRUG OFFENSE,FAST FOOD STORE
01/01/2024 0:00,DRUG OFFENSE,BUS STOP,01/01/2023 10:10,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,RAPE,ALLEY,01/01/2023 10:16,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/01/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE,01/01/2023 10:30,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/01/2024 0:00,LARCENY-THEFT,APARTMENT,01/01/2023 10:41,BURGLARY,SPECIALTY STORE
01/01/2024 0:00,LARCENY-THEFT,APARTMENT,01/01/2023 10:54,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 0:00,MOTOR VEHICLE THEFT,GROUP HOME,01/01/2023 11:00,MOTOR VEHICLE THEFT,APARTMENT
01/01/2024 0:00,LARCENY-THEFT,PARK / PLAYGROUND,01/01/2023 11:00,AGGRAVATED ASSAULT,APARTMENT
01/01/2024 0:00,DRUG OFFENSE,VEHICLE,01/01/2023 11:35,AGGRAVATED ASSAULT,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE
