OCCURRED ON,UCR CRIME CATEGORY,PREMISE TYPE
01/01/2023 8:30,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/01/2023 8:58,ARSON,
01/01/2023 9:00,AGGRAVATED ASSAULT,APARTMENT
01/01/2023 9:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 9:48,AGGRAVATED ASSAULT,APARTMENT
01/01/2023 10:00,LARCENY-THEFT,VEHICLE
01/01/2023 10:00,LARCENY-THEFT,APARTMENT
01/01/2023 10:00,BURGLARY,RENTAL STORAGE / FACILITY
01/01/2023 10:00,BURGLARY,RENTAL STORAGE / FACILITY
01/01/2023 10:00,LARCENY-THEFT,APARTMENT
01/01/2023 10:07,DRUG OFFENSE,FAST FOOD STORE
01/01/2023 10:10,LARCENY-THEFT,APARTMENT
01/01/2023 10:16,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/01/2023 10:30,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/01/2023 10:41,BURGLARY,SPECIALTY STORE
01/01/2023 10:54,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 11:00,MOTOR VEHICLE THEFT,APARTMENT
01/01/2023 11:00,AGGRAVATED ASSAULT,APARTMENT
01/01/2023 11:35,AGGRAVATED ASSAULT,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE
01/01/2023 12:00,BURGLARY,STOREROOM/SHED (COMMERCIAL)
01/01/2023 12:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/01/2023 12:00,BURGLARY,SINGLE FAMILY HOUSE
01/01/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 12:00,RAPE,APARTMENT
01/01/2023 12:00,BURGLARY,SINGLE FAMILY HOUSE
01/01/2023 12:00,MOTOR VEHICLE THEFT,APARTMENT
01/01/2023 12:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/01/2023 12:00,LARCENY-THEFT,DRUG STORE
01/01/2023 12:00,BURGLARY,STOREROOM/SHED (RESIDENTIAL)
01/01/2023 12:03,LARCENY-THEFT,RETAIL BUSINESS
01/01/2023 12:20,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/01/2023 12:30,MOTOR VEHICLE THEFT,APARTMENT
01/01/2023 13:00,MOTOR VEHICLE THEFT,BAR / LOUNG / NIGHT CLUB
01/01/2023 13:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 13:00,LARCENY-THEFT,PARKING GARAGE
01/01/2023 13:02,AGGRAVATED ASSAULT,EASEMENT
01/01/2023 13:19,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/01/2023 13:30,MOTOR VEHICLE THEFT,APARTMENT
01/01/2023 14:00,LARCENY-THEFT,VEHICLE
01/01/2023 14:20,LARCENY-THEFT,AIRPORT
01/01/2023 14:30,LARCENY-THEFT,PARKING LOT
01/01/2023 14:41,BURGLARY,APARTMENT
01/01/2023 14:59,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2023 15:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 15:00,LARCENY-THEFT,APARTMENT
01/01/2023 15:04,LARCENY-THEFT,WAREHOUSE / FACTORY
01/01/2023 15:05,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/01/2023 16:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 16:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/01/2023 16:00,MOTOR VEHICLE THEFT,GAS / SERVICE STATION
01/01/2023 16:00,LARCENY-THEFT,FAST FOOD STORE
01/01/2023 16:00,LARCENY-THEFT,DRIVEWAY
01/01/2023 16:00,MOTOR VEHICLE THEFT,APARTMENT
01/01/2023 16:00,LARCENY-THEFT,DRIVEWAY
01/01/2023 16:04,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2023 16:15,LARCENY-THEFT,VEHICLE
01/01/2023 16:35,LARCENY-THEFT,VEHICLE
01/01/2023 16:45,BURGLARY,WAREHOUSE / FACTORY
01/01/2023 16:57,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/02/2023 8:13,DRUG OFFENSE,BUS STOP
01/02/2023 8:30,RAPE,SPECIALTY STORE
01/02/2023 8:30,LARCENY-THEFT,APARTMENT
01/02/2023 9:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/02/2023 9:01,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/02/2023 9:27,MOTOR VEHICLE THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 9:45,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 10:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/02/2023 10:19,DRUG OFFENSE,PARKING LOT
01/02/2023 10:22,BURGLARY,APARTMENT
01/02/2023 10:38,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/02/2023 10:53,AGGRAVATED ASSAULT,APARTMENT
01/02/2023 11:00,LARCENY-THEFT,FENCED RESIDENTIAL YARD
01/02/2023 11:00,LARCENY-THEFT,OTHER
01/02/2023 11:05,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/02/2023 11:10,BURGLARY,MOBILE HOME
01/02/2023 11:49,ROBBERY,PARKING LOT
01/02/2023 11:58,AGGRAVATED ASSAULT,DRIVEWAY
01/02/2023 12:00,RAPE,GROUP HOME
01/02/2023 12:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/02/2023 12:00,LARCENY-THEFT,RETAIL BUSINESS
01/02/2023 13:00,LARCENY-THEFT,HOTEL / MOTEL
01/02/2023 13:00,LARCENY-THEFT,PARKING LOT
01/02/2023 13:15,LARCENY-THEFT,DRUG STORE
01/02/2023 13:21,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 13:45,ROBBERY,CONDO / TOWNHOUSE
01/02/2023 13:46,DRUG OFFENSE,SINGLE FAMILY HOUSE
01/02/2023 14:03,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/02/2023 14:30,DRUG OFFENSE,CONVENIENCE MARKET / STORE
01/02/2023 14:30,LARCENY-THEFT,RETAIL BUSINESS
01/02/2023 14:32,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 14:33,DRUG OFFENSE,HOSPITAL
01/02/2023 15:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/02/2023 15:00,LARCENY-THEFT,DRIVEWAY
01/02/2023 15:00,LARCENY-THEFT,GROCERY / SUPER MARKET
01/02/2023 15:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/02/2023 15:10,AGGRAVATED ASSAULT,APARTMENT
01/02/2023 15:23,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 15:30,BURGLARY,APARTMENT
01/02/2023 15:40,LARCENY-THEFT,SPECIALTY STORE
01/02/2023 15:45,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 15:46,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2023 15:46,DRUG OFFENSE,DEPARTMENT / DISCOUNT STORE
01/02/2023 16:00,RAPE,APARTMENT
01/02/2023 16:00,BURGLARY,SINGLE FAMILY HOUSE
01/02/2023 16:09,LARCENY-THEFT,OTHER
01/02/2023 16:10,DRUG OFFENSE,SINGLE FAMILY HOUSE
01/02/2023 16:30,MOTOR VEHICLE THEFT,APARTMENT
01/02/2023 16:41,BURGLARY,SINGLE FAMILY HOUSE
01/02/2023 16:50,DRUG OFFENSE,BUS STOP
01/03/2023 8:20,LARCENY-THEFT,DRUG STORE
01/03/2023 8:30,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/03/2023 8:50,LARCENY-THEFT,DRUG STORE
01/03/2023 9:00,BURGLARY,SINGLE FAMILY HOUSE
01/03/2023 9:25,DRUG OFFENSE,SINGLE FAMILY HOUSE
01/03/2023 9:52,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/03/2023 10:17,DRUG OFFENSE,VEHICLE
01/03/2023 10:18,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING
01/03/2023 10:24,AGGRAVATED ASSAULT,FAST FOOD STORE
01/03/2023 10:30,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING
01/03/2023 10:36,LARCENY-THEFT,APARTMENT
01/03/2023 10:38,AGGRAVATED ASSAULT,ALLEY
01/03/2023 10:51,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/03/2023 11:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/03/2023 11:00,AGGRAVATED ASSAULT,PARK / PLAYGROUND
01/03/2023 11:32,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/03/2023 11:41,DRUG OFFENSE,VEHICLE
01/03/2023 12:00,LARCENY-THEFT,DRUG STORE
01/03/2023 12:00,LARCENY-THEFT,SPECIALTY STORE
01/03/2023 12:00,BURGLARY,APARTMENT
01/03/2023 12:00,MOTOR VEHICLE THEFT,PARK / PLAYGROUND
01/03/2023 12:05,AGGRAVATED ASSAULT,HOSPITAL
01/03/2023 12:15,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/03/2023 12:15,LARCENY-THEFT,PARKING LOT
01/03/2023 12:15,DRUG OFFENSE,VEHICLE
01/03/2023 12:20,LARCENY-THEFT,GAS / SERVICE STATION
01/03/2023 12:21,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/03/2023 12:24,LARCENY-THEFT,AIRPORT
01/03/2023 12:25,LARCENY-THEFT,GROCERY / SUPER MARKET
01/03/2023 12:45,MOTOR VEHICLE THEFT,AUTO DEALERSHIP NEW/USED
01/03/2023 12:48,AGGRAVATED ASSAULT,PARK / PLAYGROUND
01/03/2023 12:53,LARCENY-THEFT,RETAIL BUSINESS
01/03/2023 13:20,MOTOR VEHICLE THEFT,ALLEY
01/03/2023 13:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
