OCCURRED ON,UCR CRIME CATEGORY,PREMISE TYPE
01/01/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 0:00,LARCENY-THEFT,STOREROOM/SHED (COMMERCIAL)
01/01/2024 0:00,ARSON,
01/01/2024 0:00,BURGLARY,SPECIALTY STORE
01/01/2024 0:00,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 0:00,LARCENY-THEFT,PARKING LOT
01/01/2024 0:00,BURGLARY,STOREROOM/SHED (COMMERCIAL)
01/01/2024 0:00,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/01/2024 0:00,BURGLARY,OTHER
01/01/2024 0:00,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,DRUG OFFENSE,BUS STOP
01/01/2024 0:00,RAPE,ALLEY
01/01/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE
01/01/2024 0:00,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,LARCENY-THEFT,APARTMENT
01/01/2024 0:00,MOTOR VEHICLE THEFT,GROUP HOME
01/01/2024 0:00,LARCENY-THEFT,PARK / PLAYGROUND
01/01/2024 0:00,DRUG OFFENSE,VEHICLE
01/01/2024 0:00,BURGLARY,STOREROOM/SHED (COMMERCIAL)
01/01/2024 0:00,LARCENY-THEFT,PARKING LOT
01/01/2024 0:01,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/01/2024 0:03,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2024 0:10,LARCENY-THEFT,OTHER
01/01/2024 0:10,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/01/2024 0:15,LARCENY-THEFT,APARTMENT
01/01/2024 0:18,MOTOR VEHICLE THEFT,APARTMENT
01/01/2024 0:22,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2024 0:30,LARCENY-THEFT,VEHICLE
01/01/2024 0:30,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 0:30,ROBBERY,VEHICLE
01/01/2024 0:30,LARCENY-THEFT,BAR / LOUNG / NIGHT CLUB
01/01/2024 0:48,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2024 1:00,AGGRAVATED ASSAULT,BUS STOP
01/01/2024 1:00,MOTOR VEHICLE THEFT,APARTMENT
01/01/2024 1:00,BURGLARY,APARTMENT
01/01/2024 1:00,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2024 1:00,LARCENY-THEFT,DRIVEWAY
01/01/2024 1:01,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 1:30,MOTOR VEHICLE THEFT,APARTMENT
01/01/2024 1:30,LARCENY-THEFT,ADULT ONLY STORE / MOVIE
01/01/2024 1:30,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/01/2024 1:39,ARSON,SINGLE FAMILY HOUSE
01/01/2024 1:40,BURGLARY,CONDO / TOWNHOUSE
01/01/2024 1:45,ARSON,PARK / PLAYGROUND
01/01/2024 1:45,AGGRAVATED ASSAULT,OTHER
01/01/2024 2:00,RAPE,VEHICLE
01/01/2024 2:00,MOTOR VEHICLE THEFT,HOTEL / MOTEL
01/01/2024 2:04,MOTOR VEHICLE THEFT,FENCED COMMERCIAL YARD
01/01/2024 2:14,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/01/2024 2:30,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK
01/01/2024 2:58,AGGRAVATED ASSAULT,APARTMENT
01/01/2024 3:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 3:10,ROBBERY,VEHICLE
01/01/2024 3:24,AGGRAVATED ASSAULT,SINGLE FAMILY HOUSE
01/01/2024 4:00,ARSON,SINGLE FAMILY HOUSE
01/01/2024 5:00,BURGLARY,APARTMENT
01/01/2024 5:00,ROBBERY,STREET / ROADWAY / SIDEWALK
01/01/2024 20:00,LARCENY-THEFT,PARKING LOT
01/01/2024 20:00,LARCENY-THEFT,APARTMENT
01/01/2024 20:30,MOTOR VEHICLE THEFT,APARTMENT
01/01/2024 20:34,LARCENY-THEFT,DRUG STORE
01/01/2024 21:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/01/2024 21:00,LARCENY-THEFT,APARTMENT
01/01/2024 21:20,MOTOR VEHICLE THEFT,APARTMENT
